sim_id,true_Pc,true_n4,fitted_Pc,fitted_n4,cd4_cd4,cd8_cd8,error_Pc,error_n4,error_n8
0,0.915186,372,0.9259662254743134,368.11426825147095,338,13,0.010780225474313343,3.8857317485290537,3.8857317485178804
1,0.915186,372,0.8976974545048456,374.53221032333624,332,8,0.01748854549515444,2.532210323336244,2.532210338614025
2,0.915186,372,0.9145005423258006,377.9595737347762,342,6,0.0006854576741994745,5.9595737347762,5.959573734690451
3,0.915186,372,0.9301201985961495,373.99646847767855,345,9,0.014934198596149417,1.9964684776785475,1.9964684777066477
4,0.915186,372,0.8994590050628314,371.32637420207254,330,10,0.01572699493716867,0.6736257979274569,0.6736257953562745
5,0.915186,372,0.9222859709247018,366.4214819616121,335,14,0.007099970924701715,5.5785180383879265,5.578518038350513
6,0.915186,372,0.896792978795193,376.15558231989684,333,7,0.018393021204807014,4.155582319896837,4.155582334801535
7,0.915186,372,0.9196409599722853,372.13282672988015,339,10,0.004454959972285288,0.13282672988015065,0.13282673003930512
8,0.915186,372,0.9114395596086571,374.85628534671935,338,8,0.0037464403913429756,2.8562853467193463,2.8562853470760565
9,0.915186,372,0.9291057404964057,371.1374918705351,342,11,0.013919740496405653,0.8625081294649135,0.862508129445672
10,0.915186,372,0.9378379067777372,371.5931511469076,346,11,0.022651906777737096,0.4068488530924128,0.40684885284044725
11,0.915186,372,0.8944634688904356,376.12731046810296,332,7,0.020722531109564457,4.127310468102962,4.127310510698216
12,0.915186,372,0.8985859885094083,372.922626409008,331,9,0.01660001149059176,0.9226264090079894,0.9226264193553622
13,0.915186,372,0.9203190868519738,370.6919700207463,338,11,0.005133086851973778,1.3080299792537176,1.308029979249966
14,0.915186,372,0.8967059909144792,367.9410725206868,326,12,0.018480009085520832,4.0589274793131835,4.0589274762133485
15,0.915186,372,0.9047923704489221,369.9460438383494,331,11,0.01039362955107792,2.0539561616506035,2.0539561595161224
16,0.915186,372,0.9151860764877195,371.9448527526121,337,10,7.648771949142485e-08,0.055147247387878906,0.05514724527763448
17,0.915186,372,0.9281235006991355,368.25367260804904,339,13,0.012937500699135462,3.746327391950956,3.7463273919441455
18,0.915186,372,0.9166085906099883,369.01260799656484,335,12,0.0014225906099882835,2.9873920034351613,2.987392003417085
19,0.915186,372,0.9145005423258006,377.9595737347762,342,6,0.0006854576741994745,5.9595737347762,5.959573734690451
20,0.915186,372,0.8976974545048456,374.53221032333624,332,8,0.01748854549515444,2.532210323336244,2.532210338614025
21,0.915186,372,0.9196409599722853,372.13282672988015,339,10,0.004454959972285288,0.13282672988015065,0.13282673003930512
22,0.915186,372,0.9351108411729262,367.33816749490273,341,14,0.019924841172926144,4.661832505097266,4.661832505032724
23,0.915186,372,0.9250219982518375,375.24143369715443,344,8,0.009835998251837452,3.2414336971544344,3.2414336937549386
24,0.915186,372,0.9063851842099777,366.8804492402159,329,13,0.008800815790022343,5.11955075978409,5.119550748465066
25,0.915186,372,0.9262943908035041,372.4223631321632,342,10,0.011108390803504009,0.4223631321631842,0.42236313217086163
26,0.915186,372,0.9084727383862147,371.6716303005174,334,10,0.006713261613785382,0.3283696994826073,0.3283696973646091
27,0.915186,372,0.8801425480635839,372.4647402168462,323,9,0.035043451936416115,0.4647402168462236,0.46474021685107836
28,0.915186,372,0.8976974545048456,374.53221032333624,332,8,0.01748854549515444,2.532210323336244,2.532210338614025
29,0.915186,372,0.9318656463623717,369.8884932976523,342,12,0.016679646362371625,2.1115067023476968,2.1115067023048937
30,0.915186,372,0.912952541252686,371.8525520863214,336,10,0.0022334587473140655,0.14744791367860444,0.14744791121454526
31,0.915186,372,0.9084727383862147,371.6716303005174,334,10,0.006713261613785382,0.3283696994826073,0.3283696973646091
32,0.915186,372,0.9240802966367906,372.32491366994833,341,10,0.008894296636790533,0.32491366994833015,0.324913669951286
33,0.915186,372,0.9203190868519738,370.6919700207463,338,11,0.005133086851973778,1.3080299792537176,1.308029979249966
34,0.915186,372,0.8980720688492366,369.64350881481056,328,11,0.01711393115076343,2.356491185189441,2.3564911846217065
35,0.915186,372,0.9047923704489221,369.9460438383494,331,11,0.01039362955107792,2.0539561616506035,2.0539561595161224
36,0.915186,372,0.9144562869812438,373.42566005337983,338,9,0.0007297130187562395,1.4256600533798292,1.4256600539321287
37,0.915186,372,0.8982183799194154,377.80521409287286,335,6,0.01696762008058461,5.805214092872859,5.805214094895046
38,0.915186,372,0.9083633904945477,376.3325690784301,338,7,0.006822609505452326,4.332569078430083,4.332569078490154
39,0.915186,372,0.8890423694457154,369.26055504469014,324,11,0.026143630554284703,2.739444955309864,2.7394449058914105
40,0.915186,372,0.9405107644211946,370.3990274106179,346,12,0.02532476442119458,1.6009725893820814,1.6009725888783102
41,0.915186,372,0.9400131204951099,371.7083348667451,347,11,0.024827120495109822,0.2916651332549236,0.2916651328721773
42,0.915186,372,0.9114395596086571,374.85628534671935,338,8,0.0037464403913429756,2.8562853467193463,2.8562853470760565
43,0.915186,372,0.8994590050628314,371.32637420207254,330,10,0.01572699493716867,0.6736257979274569,0.6736257953562745
44,0.915186,372,0.9281235006991355,368.25367260804904,339,13,0.012937500699135462,3.746327391950956,3.7463273919441455
45,0.915186,372,0.911471733587742,370.259604742955,334,11,0.003714266412258027,1.7403952570450087,1.740395250970721
46,0.915186,372,0.9383540296605095,370.2709004727698,345,12,0.02316802966050946,1.7290995272301757,1.729099526917759
47,0.915186,372,0.8874415927488282,376.0586329118235,329,7,0.027744407251171888,4.0586329118235085,4.058632912346853
48,0.915186,372,0.8940080934659935,372.7948420803427,329,9,0.02117790653400653,0.7948420803426757,0.7948420830257774
49,0.915186,372,0.9092496368123362,370.15396653096354,333,11,0.0059363631876638845,1.8460334690364562,1.8460334639064175
50,0.915186,372,0.9187990808933008,369.1359546417511,336,12,0.003613080893300702,2.864045358248916,2.864045358234147
51,0.915186,372,0.9253481546117003,369.5098171603418,339,12,0.010162154611700225,2.490182839658189,2.490182839653503
52,0.915186,372,0.9203190868519738,370.6919700207463,338,11,0.005133086851973778,1.3080299792537176,1.308029979249966
53,0.915186,372,0.92276829548994,375.17366806640297,343,8,0.007582295489939939,3.1736680664029677,3.1736680644313484
54,0.915186,372,0.9323431994355844,374.0823014267996,346,9,0.017157199435584358,2.0823014267995745,2.082301426848735
55,0.915186,372,0.9181131921617193,370.5825176271737,337,11,0.0029271921617192165,1.4174823728263277,1.4174823728209613
56,0.915186,372,0.9182491739444458,375.04222533602956,341,8,0.003063173944445774,3.04222533602956,3.042225335688281
57,0.915186,372,0.9205107231584518,375.1072437951607,342,8,0.005324723158451783,3.1072437951606844,3.1072437941863083
58,0.915186,372,0.912952541252686,371.8525520863214,336,10,0.0022334587473140655,0.14744791367860444,0.14744791121454526
59,0.915186,372,0.9187990808933008,369.1359546417511,336,12,0.003613080893300702,2.864045358248916,2.864045358234147
60,0.915186,372,0.9060591522516015,376.292744547304,337,7,0.009126847748398559,4.2927445473039825,4.2927445473715125
61,0.915186,372,0.912952541252686,371.8525520863214,336,10,0.0022334587473140655,0.14744791367860444,0.14744791121454526
62,0.915186,372,0.9070232198624745,370.04942559851105,332,11,0.008162780137525583,1.9505744014889501,1.950574397761974
63,0.915186,372,0.9265740765266889,366.726406510421,337,14,0.011388076526688828,5.273593489579014,5.273593489547093
64,0.915186,372,0.9443547642651682,371.939957913062,349,11,0.029168764265168123,0.060042086937983186,0.06004208627286722
65,0.915186,372,0.9361943222073299,370.1430790724056,344,12,0.021008322207329844,1.8569209275943876,1.856920927415608
66,0.915186,372,0.9106629613157691,376.3744258417649,339,7,0.004523038684230984,4.374425841764889,4.374425841790741
67,0.915186,372,0.903750121344312,376.255040339668,336,7,0.01143587865568807,4.255040339668028,4.255040339714737
68,0.915186,372,0.9196409599722853,372.13282672988015,339,10,0.004454959972285288,0.13282672988015065,0.13282673003930512
69,0.915186,372,0.9351158957068864,372.8203591300355,346,10,0.019929895706886303,0.8203591300355129,0.8203591301520969
70,0.915186,372,0.8940080934659935,372.7948420803427,329,9,0.02117790653400653,0.7948420803426757,0.7948420830257774
71,0.915186,372,0.9247196020099532,370.9132851672273,340,11,0.009533602009953124,1.0867148327727136,1.0867148327694718
72,0.915186,372,0.9181131921617193,370.5825176271737,337,11,0.0029271921617192165,1.4174823728263277,1.4174823728209613
73,0.915186,372,0.8976974545048456,374.53221032333624,332,8,0.01748854549515444,2.532210323336244,2.532210338614025
74,0.915186,372,0.9269144200799254,371.02505038960516,341,11,0.011728420079925361,0.9749496103948445,0.9749496103872115
75,0.915186,372,0.9062262458868334,371.5831389207798,333,10,0.00895975411316663,0.41686107922021165,0.416861077708889
76,0.915186,372,0.9174155137539125,372.0382973520112,338,10,0.0022295137539124488,0.038297352011227304,0.03829735338029039
77,0.915186,372,0.9084727383862147,371.6716303005174,334,10,0.006713261613785382,0.3283696994826073,0.3283696973646091
78,0.915186,372,0.910714798981104,371.7614567138027,335,10,0.004471201018896087,0.2385432861972845,0.2385432837385313
79,0.915186,372,0.9137137049333247,374.9166755546633,339,8,0.0014722950666753443,2.9166755546633,2.9166755549074654
80,0.915186,372,0.8958721212425674,377.7932200178715,334,6,0.019313878757432623,5.793220017871477,5.793220028650957
81,0.915186,372,0.9144562869812438,373.42566005337983,338,9,0.0007297130187562395,1.4256600533798292,1.4256600539321287
82,0.915186,372,0.9003169132624833,369.743017391726,329,11,0.014869086737516746,2.2569826082739723,2.256982606856276
83,0.915186,372,0.9250219982518375,375.24143369715443,344,8,0.009835998251837452,3.2414336971544344,3.2414336937549386
84,0.915186,372,0.9203190868519738,370.6919700207463,338,11,0.005133086851973778,1.3080299792537176,1.308029979249966
85,0.915186,372,0.9362360843827509,375.5982792876353,349,8,0.0210500843827508,3.5982792876353074,3.598279287933577
86,0.915186,372,0.9265740765266889,366.726406510421,337,14,0.011388076526688828,5.273593489579014,5.273593489547093
87,0.915186,372,0.9187990808933008,369.1359546417511,336,12,0.003613080893300702,2.864045358248916,2.864045358234147
88,0.915186,372,0.8776321079430348,368.822011036058,319,11,0.03755389205696524,3.1779889639420276,3.1779889639411714
89,0.915186,372,0.9129473601945337,367.28665653159146,332,13,0.002238639805466347,4.713343468408539,4.713343468396701
90,0.915186,372,0.9378379067777372,371.5931511469076,346,11,0.022651906777737096,0.4068488530924128,0.40684885284044725
91,0.915186,372,0.9068778660181391,374.7406470703654,336,8,0.008308133981860921,2.740647070365412,2.7406470707317734
92,0.915186,372,0.914414201536082,368.88997693043245,334,12,0.0007717984639180608,3.1100230695675464,3.1100230695620787
93,0.915186,372,0.9231687652141763,369.3846046239461,338,12,0.00798276521417629,2.6153953760539252,2.615395376046866
94,0.915186,372,0.9323431994355844,374.0823014267996,346,9,0.017157199435584358,2.0823014267995745,2.082301426848735
95,0.915186,372,0.911471733587742,370.259604742955,334,11,0.003714266412258027,1.7403952570450087,1.740395250970721
96,0.915186,372,0.914414201536082,368.88997693043245,334,12,0.0007717984639180608,3.1100230695675464,3.1100230695620787
97,0.915186,372,0.8958223185276479,369.54543185923467,327,11,0.019363681472352123,2.454568140765332,2.454568137639022
98,0.915186,372,0.913689620208973,370.3662806136357,335,11,0.0014963797910270138,1.6337193863643051,1.6337193799564798
99,0.915186,372,0.9179837612999678,366.1175583478959,333,14,0.0027977612999677826,5.882441652104092,5.88244165206325
