,n4,Pc_val,depth,equation,expected_cd4,expected_cd8,cd4_cd4_calculated,cd8_cd8_calculated
0,6.889124747738606,0.1688079167747343,2,"CD8_0, CD8_1",89.0,4.0,89.0,3.9999999999999996
1,6.889124747738606,0.1688079167747343,2,"CD8_0, CD8_1",89.0,4.0,89.0,3.9999999999999996
2,6.889124747738606,0.1688079167747343,2,"CD8_0, CD8_1",89.0,4.0,89.0,3.9999999999999996
3,6.889124747738606,0.1688079167747343,2,"CD8_0, CD8_1",89.0,4.0,89.0,3.9999999999999996
4,6.889124747738606,0.1688079167747343,2,"CD8_0, CD8_1",89.0,4.0,89.0,3.9999999999999996
5,107.11087525226135,0.8311920832252657,2,"CD8_0, CD8_1",89.0,4.0,88.99999999999999,4.0000000000000195
6,107.11087525226135,0.8311920832252657,2,"CD8_0, CD8_1",89.0,4.0,88.99999999999999,4.0000000000000195
7,107.11087525226135,0.8311920832252657,2,"CD8_0, CD8_1",89.0,4.0,88.99999999999999,4.0000000000000195
8,107.11087525226135,0.8311920832252657,2,"CD8_0, CD8_1",89.0,4.0,88.99999999999999,4.0000000000000195
9,107.11087525226135,0.8311920832252657,2,"CD8_0, CD8_1",89.0,4.0,88.99999999999999,4.0000000000000195
10,6.889124747738606,0.1688079167747343,2,"CD8_0, CD8_2",89.0,4.0,89.0,3.9999999999999996
11,6.889124747738606,0.1688079167747343,2,"CD8_0, CD8_2",89.0,4.0,89.0,3.9999999999999996
12,6.889124747738606,0.1688079167747343,2,"CD8_0, CD8_2",89.0,4.0,89.0,3.9999999999999996
13,6.889124747738606,0.1688079167747343,2,"CD8_0, CD8_2",89.0,4.0,89.0,3.9999999999999996
14,6.889124747738606,0.1688079167747343,2,"CD8_0, CD8_2",89.0,4.0,89.0,3.9999999999999996
15,107.11087525226135,0.8311920832252657,2,"CD8_0, CD8_2",89.0,4.0,88.99999999999999,4.0000000000000195
16,107.11087525226135,0.8311920832252657,2,"CD8_0, CD8_2",89.0,4.0,88.99999999999999,4.0000000000000195
17,107.11087525226135,0.8311920832252657,2,"CD8_0, CD8_2",89.0,4.0,88.99999999999999,4.0000000000000195
18,107.11087525226135,0.8311920832252657,2,"CD8_0, CD8_2",89.0,4.0,88.99999999999999,4.0000000000000195
19,107.11087525226135,0.8311920832252657,2,"CD8_0, CD8_2",89.0,4.0,88.99999999999999,4.0000000000000195
20,9.329655745993161,0.22815396223165246,3,"CD8_0, CD8_1",31.0,0.0,30.999999999999996,1.885023040229065
21,9.329655745993161,0.22815396223165246,3,"CD8_0, CD8_1",31.0,0.0,30.999999999999996,1.885023040229065
22,9.329655745993161,0.22815396223165246,3,"CD8_0, CD8_1",31.0,0.0,30.999999999999996,1.885023040229065
23,9.329655745993161,0.22815396223165246,3,"CD8_0, CD8_1",31.0,0.0,30.999999999999996,1.885023040229065
24,46.67034425400687,0.7718460377683476,3,"CD8_0, CD8_1",31.0,0.0,31.000000000000025,1.8850230402290598
25,46.67034425400687,0.7718460377683476,3,"CD8_0, CD8_1",31.0,0.0,31.000000000000025,1.8850230402290598
26,46.67034425400687,0.7718460377683476,3,"CD8_0, CD8_1",31.0,0.0,31.000000000000025,1.8850230402290598
27,46.67034425400687,0.7718460377683476,3,"CD8_0, CD8_1",31.0,0.0,31.000000000000025,1.8850230402290598
28,46.67034425400687,0.7718460377683476,3,"CD8_0, CD8_1",31.0,0.0,31.000000000000025,1.8850230402290598
29,15.509751906310324,0.1577985914841271,3,"CD8_0, CD8_2",31.0,0.0,30.999999999999993,4.922081202102795
30,15.509751906310324,0.1577985914841271,3,"CD8_0, CD8_2",31.0,0.0,30.999999999999993,4.922081202102795
31,15.509751906310324,0.1577985914841271,3,"CD8_0, CD8_2",31.0,0.0,30.999999999999993,4.922081202102795
32,40.49024809368967,0.8422014085158729,3,"CD8_0, CD8_2",31.0,0.0,30.999999999999993,4.922081202102797
33,35.47975718412621,0.9174909964679516,3,"CD8_0, CD8_2",31.0,0.0,30.999999999999904,11.047615767594234
34,40.49024809368967,0.8422014085158729,3,"CD8_0, CD8_2",31.0,0.0,30.999999999999993,4.922081202102797
35,40.49024809368967,0.8422014085158729,3,"CD8_0, CD8_2",31.0,0.0,30.999999999999993,4.922081202102797
36,35.47975718412621,0.9174909964679516,3,"CD8_0, CD8_2",31.0,0.0,30.999999999999904,11.047615767594234
37,40.49024809368967,0.8422014085158729,3,"CD8_0, CD8_2",31.0,0.0,30.999999999999993,4.922081202102797
38,35.47975718412621,0.9174909964679516,3,"CD8_0, CD8_2",31.0,0.0,30.999999999999904,11.047615767594234
39,-2.3882692438839563,0.3113426229752816,3,"CD8_0, CD8_3",31.0,0.0,31.0,1.6653345369377348e-16
40,-2.3882692438839563,0.3113426229752816,3,"CD8_0, CD8_3",31.0,0.0,31.0,1.6653345369377348e-16
41,-2.3882692438839563,0.3113426229752816,3,"CD8_0, CD8_3",31.0,0.0,31.0,1.6653345369377348e-16
42,-2.3882692438839563,0.3113426229752816,3,"CD8_0, CD8_3",31.0,0.0,31.0,1.6653345369377348e-16
43,58.38826924388395,0.6886573770247184,3,"CD8_0, CD8_3",31.0,0.0,30.99999999999999,1.0547118733938987e-15
44,58.38826924388395,0.6886573770247184,3,"CD8_0, CD8_3",31.0,0.0,30.99999999999999,1.0547118733938987e-15
45,58.38826924388395,0.6886573770247184,3,"CD8_0, CD8_3",31.0,0.0,30.99999999999999,1.0547118733938987e-15
46,58.38826924388395,0.6886573770247184,3,"CD8_0, CD8_3",31.0,0.0,30.99999999999999,1.0547118733938987e-15
