depth,SeqCount,strictly_CD4,strictly_CD8,both,expected_n4
2,386,337,10,39,372
3,145,111,1,33,140
4,83,42,0,41,80
5,44,23,0,21,42
6,40,17,0,23,39
7,35,12,0,23,34
8,17,1,0,16,16
9,9,0,0,9,9
10,9,0,0,9,9
11,5,0,0,5,5
12,2,0,0,2,2
13,2,0,0,2,2
14,1,0,0,1,1
15,1,0,0,1,1
