,n4,Pc_val,depth,equation,cd4_cd4_calculated,cd8_cd8_calculated
24,58.38826924388395,0.6886573770247184,3,"cd4_only, cd8_only",30.99999999999999,1.0547118733938987e-15
25,58.38826924388395,0.6886573770247184,3,"cd4_only, cd8_only",30.99999999999999,1.0547118733938987e-15
26,58.38826924388395,0.6886573770247184,3,"cd4_only, cd8_only",30.99999999999999,1.0547118733938987e-15
27,58.38826924388395,0.6886573770247184,3,"cd4_only, cd8_only",30.99999999999999,1.0547118733938987e-15
28,58.38826924388395,0.6886573770247184,3,"cd4_only, cd8_only",30.99999999999999,1.0547118733938987e-15
29,58.38826924388395,0.6886573770247184,3,"cd4_only, cd8_only",30.99999999999999,1.0547118733938987e-15
30,9.329655745993161,0.22815396223165246,3,"cd4_only, cd8_1_mix",30.999999999999996,1.885023040229065
31,9.329655745993161,0.22815396223165246,3,"cd4_only, cd8_1_mix",30.999999999999996,1.885023040229065
32,9.329655745993161,0.22815396223165246,3,"cd4_only, cd8_1_mix",30.999999999999996,1.885023040229065
33,9.329655745993161,0.22815396223165246,3,"cd4_only, cd8_1_mix",30.999999999999996,1.885023040229065
34,46.67034425400687,0.7718460377683476,3,"cd4_only, cd8_1_mix",31.000000000000025,1.8850230402290598
35,46.67034425400687,0.7718460377683476,3,"cd4_only, cd8_1_mix",31.000000000000025,1.8850230402290598
36,46.67034425400687,0.7718460377683476,3,"cd4_only, cd8_1_mix",31.000000000000025,1.8850230402290598
37,46.67034425400687,0.7718460377683476,3,"cd4_only, cd8_1_mix",31.000000000000025,1.8850230402290598
38,46.67034425400687,0.7718460377683476,3,"cd4_only, cd8_1_mix",31.000000000000025,1.8850230402290598
39,-0.1930707717599599,0.2922395569222396,4,"cd4_only, cd8_only",10.0,-6.938893903907228e-18
40,-0.1930707717599599,0.2922395569222396,4,"cd4_only, cd8_only",10.0,-6.938893903907228e-18
41,-0.1930707717599599,0.2922395569222396,4,"cd4_only, cd8_only",10.0,-6.938893903907228e-18
42,-0.1930707717599599,0.2922395569222396,4,"cd4_only, cd8_only",10.0,-6.938893903907228e-18
43,22.19307077175994,0.7077604430777604,4,"cd4_only, cd8_only",9.999999999999991,1.1258355359089478e-15
44,22.19307077175994,0.7077604430777604,4,"cd4_only, cd8_only",9.999999999999991,1.1258355359089478e-15
45,22.19307077175994,0.7077604430777604,4,"cd4_only, cd8_only",9.999999999999991,1.1258355359089478e-15
46,22.19307077175994,0.7077604430777604,4,"cd4_only, cd8_only",9.999999999999991,1.1258355359089478e-15
47,22.19307077175994,0.7077604430777604,4,"cd4_only, cd8_only",9.999999999999991,1.1258355359089478e-15
48,22.19307077175994,0.7077604430777604,4,"cd4_only, cd8_only",9.999999999999991,1.1258355359089478e-15
