depth,SeqCount,strictly_CD4,strictly_CD8,both,expected_n4
2,114,89,4,21,107
3,56,31,0,25,53
4,22,10,0,12,21
5,20,10,0,10,19
6,9,4,0,5,8
7,12,3,0,9,11
8,5,1,0,4,5
9,3,1,0,2,3
10,8,2,0,6,8
11,3,0,0,3,3
12,0,0,0,0,0
13,5,1,0,4,5
14,3,0,0,3,3
15,2,0,0,2,2
16,0,0,0,0,0
17,1,0,0,1,1
18,1,0,0,1,1
19,1,0,0,1,1
20,2,0,0,2,2
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,0
27,0,0,0,0,0
28,0,0,0,0,0
29,0,0,0,0,0
30,0,0,0,0,0
31,1,0,0,1,1
