sim_id,true_Pc,true_n4,fitted_Pc,fitted_n4,cd4_cd4,cd8_cd8,error_Pc,error_n4,error_cd4_cd4
0,0.9400000000000001,372,0.9361943222070453,370.1430790725833,344,12,0.003805677792954709,1.8569209274166951,7
1,0.9400000000000001,372,0.9367791640190394,374.25665137153993,348,9,0.003220835980960679,2.256651371539931,11
2,0.9400000000000001,372,0.9367791640190394,374.25665137153993,348,9,0.003220835980960679,2.256651371539931,11
3,0.9400000000000001,372,0.9486852554049998,372.17301966315887,351,11,0.008685255404999759,0.1730196631588683,14
4,0.9400000000000001,372,0.9302774413874564,368.39339325220334,340,13,0.009722558612543675,3.6066067477966612,3
5,0.9400000000000001,372,0.9410001850927249,369.09553287273707,345,13,0.0010001850927248146,2.904467127262933,8
6,0.9400000000000001,372,0.9272719367123323,375.3104784871534,345,8,0.012728063287667735,3.3104784871533752,8
7,0.9400000000000001,372,0.9516522727781495,369.80071550752143,350,13,0.011652272778149397,2.1992844924785686,13
8,0.9400000000000001,372,0.9234299579540036,373.74495402411253,342,9,0.016570042045996436,1.7449540241125305,5
9,0.9400000000000001,372,0.9573153659427543,372.6424110764653,355,11,0.01731536594275429,0.6424110764652937,18
10,0.9400000000000001,372,0.9598010085993998,371.5607283212178,355,12,0.019801008599399705,0.4392716787821769,18
11,0.9400000000000001,372,0.9301201985961042,373.99646847770657,345,9,0.009879801403895883,1.9964684777065713,8
12,0.9400000000000001,372,0.9329155593891703,372.7197259194267,345,10,0.007084440610829801,0.7197259194267076,8
13,0.9400000000000001,372,0.9486852554049998,372.17301966315887,351,11,0.008685255404999759,0.1730196631588683,14
14,0.9400000000000001,372,0.914414201536075,368.8899769304379,334,12,0.025585798463925058,3.1100230695620894,3
15,0.9400000000000001,372,0.9383540296599872,370.27090047308144,345,12,0.0016459703400129033,1.72909952691856,8
16,0.9400000000000001,372,0.937313026876529,372.92167295415436,347,10,0.0026869731234711036,0.92167295415436,10
17,0.9400000000000001,372,0.9383540296599872,370.27090047308144,345,12,0.0016459703400129033,1.72909952691856,8
18,0.9400000000000001,372,0.9334782639269573,371.3642267475966,344,11,0.006521736073042739,0.6357732524033963,7
19,0.9400000000000001,372,0.9311684955291506,376.8295472090437,348,7,0.00883150447084946,4.82954720904371,11
20,0.9400000000000001,372,0.9250219982574077,375.24143369346166,344,8,0.01497800174259234,3.2414336934616585,7
21,0.9400000000000001,372,0.9491096339730092,370.9139350611817,350,12,0.009109633973009124,1.0860649388183106,13
22,0.9400000000000001,372,0.9495270299981001,369.65960654184795,349,13,0.009527029998100067,2.3403934581520502,12
23,0.9400000000000001,372,0.9345628229751342,374.1690454427909,347,9,0.005437177024865902,2.169045442790889,10
24,0.9400000000000001,372,0.9318656463623108,369.88849329769306,342,12,0.008134353637689218,2.11150670230694,5
25,0.9400000000000001,372,0.9537750804608982,369.94180889259525,351,13,0.013775080460898148,2.0581911074047525,14
26,0.9400000000000001,372,0.9378379067772953,371.5931511471592,346,11,0.002162093222704775,0.40684885284082384,9
27,0.9400000000000001,372,0.9247196020099516,370.9132851672284,340,11,0.015280397990048433,1.0867148327715768,3
28,0.9400000000000001,372,0.9278937239230574,373.91159748331836,344,9,0.012106276076942701,1.91159748331836,7
29,0.9400000000000001,372,0.9491096339730092,370.9139350611817,350,12,0.009109633973009124,1.0860649388183106,13
30,0.9400000000000001,372,0.9291057404963794,371.13749187055305,342,11,0.010894259503620662,0.862508129446951,5
31,0.9400000000000001,372,0.9400131204943839,371.7083348671275,347,11,1.3120494383844772e-05,0.2916651328724811,10
32,0.9400000000000001,372,0.9421853780267796,371.82394919488803,348,11,0.0021853780267795386,0.17605080511197002,11
33,0.9400000000000001,372,0.9383540296599872,370.27090047308144,345,12,0.0016459703400129033,1.72909952691856,8
34,0.9400000000000001,372,0.9259662254743107,368.11426825147294,338,13,0.014033774525689324,3.885731748527064,1
35,0.9400000000000001,372,0.929696502786609,369.7618022592137,341,12,0.010303497213391077,2.2381977407862905,4
36,0.9400000000000001,372,0.9323431994354987,374.0823014268487,346,9,0.007656800564501354,2.0823014268486872,9
37,0.9400000000000001,372,0.9307119258843084,372.6198178456631,344,10,0.009288074115691658,0.6198178456630785,7
38,0.9400000000000001,372,0.937313026876529,372.92167295415436,347,10,0.0026869731234711036,0.92167295415436,10
39,0.9400000000000001,372,0.9247196020099516,370.9132851672284,340,11,0.015280397990048433,1.0867148327715768,3
40,0.9400000000000001,372,0.9619324140539469,371.6902356786349,356,12,0.021932414053946858,0.309764321365094,19
41,0.9400000000000001,372,0.955161500834906,372.5247319492379,354,11,0.015161500834905972,0.5247319492378892,17
42,0.9400000000000001,372,0.937313026876529,372.92167295415436,347,10,0.0026869731234711036,0.92167295415436,10
43,0.9400000000000001,372,0.9174155137521328,372.03829735337894,338,10,0.02258448624786724,0.038297353378936805,1
44,0.9400000000000001,372,0.9495270299981001,369.65960654184795,349,13,0.009527029998100067,2.3403934581520502,12
45,0.9400000000000001,372,0.9334782639269573,371.3642267475966,344,11,0.006521736073042739,0.6357732524033963,7
46,0.9400000000000001,372,0.9580136857265831,370.22385214734913,353,13,0.018013685726583017,1.7761478526508654,16
47,0.9400000000000001,372,0.9196409599720754,372.1328267300382,339,10,0.020359040027924658,0.13282673003817536,2
48,0.9400000000000001,372,0.9351158957066832,372.82035913015187,346,10,0.004884104293316871,0.8203591301518713,9
49,0.9400000000000001,372,0.9356596505343121,371.47843551140477,345,11,0.004340349465687954,0.5215644885952315,8
50,0.9400000000000001,372,0.9537750804608982,369.94180889259525,351,13,0.013775080460898148,2.0581911074047525,14
51,0.9400000000000001,372,0.9495270299981001,369.65960654184795,349,13,0.009527029998100067,2.3403934581520502,12
52,0.9400000000000001,372,0.9491096339730092,370.9139350611817,350,12,0.009109633973009124,1.0860649388183106,13
53,0.9400000000000001,372,0.9367791640190394,374.25665137153993,348,9,0.003220835980960679,2.256651371539931,11
54,0.9400000000000001,372,0.9460712855998856,373.33289549770757,351,10,0.0060712855998855675,1.3328954977075682,14
55,0.9400000000000001,372,0.9486852554049998,372.17301966315887,351,11,0.008685255404999759,0.1730196631588683,14
56,0.9400000000000001,372,0.9317609318580626,375.4521675175709,347,8,0.008239068141937422,3.4521675175708992,10
57,0.9400000000000001,372,0.9504334634119793,373.5415383015445,353,10,0.01043346341197926,1.5415383015445059,16
58,0.9400000000000001,372,0.9416980339391616,373.12617183438397,349,10,0.0016980339391615695,1.1261718343839675,12
59,0.9400000000000001,372,0.9491096339730092,370.9139350611817,350,12,0.009109633973009124,1.0860649388183106,13
60,0.9400000000000001,372,0.9317609318580626,375.4521675175709,347,8,0.008239068141937422,3.4521675175708992,10
61,0.9400000000000001,372,0.9378379067772953,371.5931511471592,346,11,0.002162093222704775,0.40684885284082384,9
62,0.9400000000000001,372,0.946963964670851,370.78491095860943,349,12,0.0069639646708509195,1.21508904139057,12
63,0.9400000000000001,372,0.9473992768845415,369.5185072305669,348,13,0.00739927688454145,2.481492769433089,11
64,0.9400000000000001,372,0.9619324140539469,371.6902356786349,356,12,0.021932414053946858,0.309764321365094,19
65,0.9400000000000001,372,0.9601296281277635,370.3647556198643,354,13,0.02012962812776342,1.6352443801357026,17
66,0.9400000000000001,372,0.9356835459125413,376.9467573767754,350,7,0.004316454087458732,4.946757376775395,13
67,0.9400000000000001,372,0.9400131204943839,371.7083348671275,347,11,1.3120494383844772e-05,0.2916651328724811,10
68,0.9400000000000001,372,0.9395070433299917,373.0236243771882,348,10,0.000492956670008371,1.0236243771881846,11
69,0.9400000000000001,372,0.953393349778071,371.17240012030925,352,12,0.01339334977807094,0.8275998796907515,15
