sim_id,true_Pc,true_n4,fitted_Pc,fitted_n4,cd4_cd4,cd8_cd8,error_Pc,error_n4,error_cd4_cd4
0,0.89,372,0.904189292234739,366.74648942320374,328,13,0.01418929223473897,5.253510576796259,9
1,0.89,372,0.8696218745524914,374.14609819383855,320,8,0.02037812544750861,2.1460981938385544,17
2,0.89,372,0.890179863480396,379.4699581408465,333,5,0.00017986348039600308,7.469958140846472,4
3,0.89,372,0.8967929787786678,376.15558233480147,333,7,0.006792978778667802,4.1555823348014655,4
4,0.89,372,0.8778108809379982,372.4185877413852,322,9,0.012189119062001819,0.4185877413851813,15
5,0.89,372,0.9028038651676278,365.0662348638383,326,14,0.01280386516762777,6.933765136161696,11
6,0.89,372,0.8803665824281117,376.0166391397787,326,7,0.009633417571888292,4.016639139778704,11
7,0.89,372,0.8940080934630799,372.7948420830245,329,9,0.004008093463079843,0.7948420830244913,8
8,0.89,372,0.8907581966202998,374.3986791690301,329,8,0.0007581966202997448,2.3986791690301175,8
9,0.89,372,0.9092496368061103,370.15396653608406,333,11,0.01924963680611025,1.8460334639159441,4
10,0.89,372,0.9092496368061103,370.15396653608406,333,11,0.01924963680611025,1.8460334639159441,4
11,0.89,372,0.8720836131025421,377.85006824513255,324,6,0.017916386897457892,5.850068245132547,13
12,0.89,372,0.8660398108223183,376.0272769426123,320,7,0.023960189177681723,4.027276942612275,17
13,0.89,372,0.9047923704464225,369.94604384046994,331,11,0.014792370446422454,2.0539561595300597,6
14,0.89,372,0.8886875302801822,365.8347026564815,321,13,0.0013124697198177993,6.165297343518489,16
15,0.89,372,0.8754728794370267,372.3752765602144,321,9,0.014527120562973339,0.37527656021438816,16
16,0.89,372,0.88978792064667,376.0787225644752,330,7,0.00021207935333000805,4.078722564475186,7
17,0.89,372,0.8953602805467874,366.21930853072007,324,13,0.005360280546787388,5.78069146927993,13
18,0.89,372,0.8997841028952176,366.4810525374553,326,13,0.009784102895217583,5.518947462544702,11
19,0.89,372,0.8991171668544709,376.18636235245475,334,7,0.009117166854470837,4.186362352454751,3
20,0.89,372,0.8636270693766132,376.04311900537385,319,7,0.02637293062338686,4.043119005373853,18
21,0.89,372,0.8861042827402925,374.3220028280711,327,8,0.0038957172597074985,2.3220028280711063,10
22,0.89,372,0.9319637205248852,364.3297852989152,337,16,0.04196372052488517,7.670214701084774,0
23,0.89,372,0.8967929787786678,376.15558233480147,333,7,0.006792978778667802,4.1555823348014655,4
24,0.89,372,0.8730260569438242,368.6614855691415,317,11,0.016973943056175833,3.3385144308584813,20
25,0.89,372,0.9114717335802481,370.25960474902143,334,11,0.02147173358024812,1.7403952509785654,3
26,0.89,372,0.8801425480635842,372.46474021684605,323,9,0.00985745193641585,0.46474021684605304,14
27,0.89,372,0.8554171535893268,370.14719614411956,311,10,0.03458284641067322,1.8528038558804383,26
28,0.89,372,0.8778108809379982,372.4185877413852,322,9,0.012189119062001819,0.4185877413851813,15
29,0.89,372,0.9070232198580267,370.0494256022265,332,11,0.017023219858026684,1.9505743977734937,5
30,0.89,372,0.9047923704464225,369.94604384046994,331,11,0.014792370446422454,2.0539561595300597,6
31,0.89,372,0.8880803049416267,370.93208567699503,325,10,0.0019196950583733052,1.0679143230049704,12
32,0.89,372,0.8976974544878588,374.5322103385193,332,8,0.007697454487858746,2.532210338519292,5
33,0.89,372,0.8917112524257977,372.73403201771646,328,9,0.0017112524257977269,0.7340320177164585,9
34,0.89,372,0.866054235796522,372.23306477693916,317,9,0.023945764203478048,0.23306477693915895,20
35,0.89,372,0.8844955082803574,369.07925149762974,322,11,0.0055044917196426235,2.920748502370259,15
36,0.89,372,0.8871010999971801,372.6190533809777,326,9,0.002898900002819893,0.6190533809776753,11
37,0.89,372,0.8709114239380645,379.7166003215715,325,5,0.01908857606193548,7.716600321571491,12
38,0.89,372,0.8911630499637428,377.77784835054706,332,6,0.0011630499637428349,5.77784835054706,5
39,0.89,372,0.8613951348064628,368.3051324764058,312,11,0.02860486519353722,3.694867523594212,25
40,0.89,372,0.9203190868519733,370.6919700207467,338,11,0.030319086851973265,1.3080299792533197,1
41,0.89,372,0.9144562869805398,373.42566005393184,338,9,0.02445628698053981,1.4256600539318356,1
42,0.89,372,0.8814268152936625,374.25623421375155,325,8,0.0085731847063375,2.2562342137515543,12
43,0.89,372,0.8613025035017179,372.182577072418,315,9,0.028697496498282127,0.1825770724179847,22
44,0.89,372,0.8922322702763681,367.7149618912297,324,12,0.0022322702763680757,4.285038108770323,13
45,0.89,372,0.8822135991920125,368.99144747656555,321,11,0.007786400807987537,3.008552523434446,16
46,0.89,372,0.927524036056425,369.63556353455004,340,12,0.03752403605642496,2.3644364654499554,3
47,0.89,372,0.8475822163592185,378.33772057890087,314,6,0.042417783640781526,6.337720578900871,23
48,0.89,372,0.8696218745524914,374.14609819383855,320,8,0.02037812544750861,2.1460981938385544,17
49,0.89,372,0.8811872878052429,370.71951656219363,322,10,0.0088127121947571,1.2804834378063674,15
50,0.89,372,0.8871010999971801,372.6190533809777,326,9,0.002898900002819893,0.6190533809776753,11
51,0.89,372,0.8980720688485982,369.6435088153783,328,11,0.008072068848598235,2.3564911846216887,9
52,0.89,372,0.9017194989027632,371.41043826778326,331,10,0.011719498902763137,0.5895617322167368,6
53,0.89,372,0.8921284971767061,376.1016535906287,331,7,0.0021284971767060457,4.1016535906287,6
54,0.89,372,0.9022974980493621,374.63239540679365,334,8,0.012297498049362088,2.6323954067936484,3
55,0.89,372,0.9070232198580267,370.0494256022265,332,11,0.017023219858026684,1.9505743977734937,5
56,0.89,372,0.8837685686853458,374.2876963647673,326,8,0.006231431314654201,2.287696364767328,11
57,0.89,372,0.8967929787786678,376.15558233480147,333,7,0.006792978778667802,4.1555823348014655,4
58,0.89,372,0.8801425480635842,372.46474021684605,323,9,0.00985745193641585,0.46474021684605304,14
59,0.89,372,0.896705990911027,367.94107252378666,326,12,0.006705990911026971,4.058927476213341,11
60,0.89,372,0.8925600309746768,379.45613935213345,334,5,0.00256003097467683,7.456139352133448,3
61,0.89,372,0.8857883938442196,370.8590398318202,324,10,0.004211606155780423,1.140960168179788,13
62,0.89,372,0.8741206666133051,366.8722417476902,316,12,0.015879333386694894,5.127758252309775,21
63,0.89,372,0.9055955769245091,368.407631722606,330,12,0.01559557692450908,3.592368277393973,7
64,0.89,372,0.9256636770967782,373.8277411389311,343,9,0.0356636770967782,1.827741138931117,6
65,0.89,372,0.9122158111960287,368.7681111770708,333,12,0.022215811196028667,3.231888822929193,4
66,0.89,372,0.8816745140636048,377.78501476793775,328,6,0.00832548593639526,5.785014767937753,9
67,0.89,372,0.8894089678760558,372.675402691352,327,9,0.0005910321239441796,0.6754026913520192,10
68,0.89,372,0.8944716424691752,367.82736310331063,325,12,0.004471642469175197,4.172636896689369,12
69,0.89,372,0.8953897293643355,374.4853698898204,331,8,0.0053897293643354605,2.48536988982039,6
70,0.89,372,0.8788777996884671,370.6532460415648,321,10,0.011122200311532882,1.3467539584352153,16
71,0.89,372,0.9173019434870123,367.56057512866425,334,13,0.027301943487012315,4.439424871335746,3
72,0.89,372,0.8880803049416267,370.93208567699503,325,10,0.0019196950583733052,1.0679143230049704,12
73,0.89,372,0.8636270693766132,376.04311900537385,319,7,0.02637293062338686,4.043119005373853,18
74,0.89,372,0.9181131921617177,370.58251762717487,337,11,0.028113192161717704,1.417482372825134,0
75,0.89,372,0.8811872878052429,370.71951656219363,322,10,0.0088127121947571,1.2804834378063674,15
76,0.89,372,0.8917112524257977,372.73403201771646,328,9,0.0017112524257977269,0.7340320177164585,9
77,0.89,372,0.8834907697442896,370.78814967957396,323,10,0.006509230255710374,1.2118503204260378,14
78,0.89,372,0.873128382011231,372.3349334967718,320,9,0.016871617988769017,0.3349334967717823,17
79,0.89,372,0.8921284971767061,376.1016535906287,331,7,0.0021284971767060457,4.1016535906287,6
80,0.89,372,0.8660248850727965,379.82201618055535,323,5,0.0239751149272035,7.822016180555352,14
81,0.89,372,0.8930766894889961,374.44082581928376,330,8,0.003076689488996087,2.4408258192837593,7
82,0.89,372,0.8624558507374303,374.1229145165648,317,8,0.02754414926256976,2.1229145165647765,20
