sim_id,true_Pc,true_n4,fitted_Pc,fitted_n4,cd4_cd4,cd8_cd8,error_Pc,error_n4,error_cd4_cd4
0,0.85,372,0.8637352217446783,368.37076921376814,313,11,0.013735221744678339,3.629230786231858,24
1,0.85,372,0.8263979173111858,376.9443544623515,304,7,0.02360208268881414,4.944354462351498,33
2,0.85,372,0.8450852122798942,378.417807761613,313,6,0.004914787720105784,6.417807761613005,24
3,0.85,372,0.8552214621729747,374.13728746290855,314,8,0.0052214621729747,2.137287462908546,23
4,0.85,372,0.8178142028934062,374.98215989551477,299,8,0.03218579710659375,2.9821598955147692,38
5,0.85,372,0.8706517102380594,364.8698617219243,313,13,0.02065171023805945,7.130138278075719,24
6,0.85,372,0.8454597550467491,374.22386152563666,310,8,0.004540244953250894,2.2238615256366643,27
7,0.85,372,0.842578761837944,378.5045964891317,312,6,0.007421238162055976,6.5045964891317,25
8,0.85,372,0.8538978167739226,376.1532741583877,315,7,0.0038978167739226466,4.153274158387717,22
9,0.85,372,0.8776321079430339,368.8220110360588,319,11,0.027632107943033946,3.177988963941175,18
10,0.85,372,0.8707772229841718,372.2976908267531,319,9,0.02077722298417184,0.29769082675312575,18
11,0.85,372,0.8292288085687648,383.60117756460534,310,4,0.02077119143123518,11.601177564605337,27
12,0.85,372,0.8527938765246709,374.1512919474836,313,8,0.0027938765246708908,2.151291947483628,24
13,0.85,372,0.8554171535893268,370.14719614411956,311,10,0.0054171535893268175,1.8528038558804383,26
14,0.85,372,0.8694906720865783,362.9454864682349,311,14,0.019490672086578287,9.05451353176511,26
15,0.85,372,0.8395219320088034,372.16781933544064,306,9,0.010478067991196549,0.16781933544064032,31
16,0.85,372,0.8587785068156067,376.0884430642302,317,7,0.008778506815606768,4.088443064230205,20
17,0.85,372,0.8263979173111858,376.9443544623515,304,7,0.02360208268881414,4.944354462351498,33
18,0.85,372,0.864950849256856,362.6852945055976,309,14,0.01495084925685597,9.314705494402403,28
19,0.85,372,0.8601666045447225,370.2223778952798,313,10,0.010166604544722513,1.7776221047201943,24
20,0.85,372,0.832098615241674,372.2578312611081,303,9,0.017901384758326033,0.2578312611080946,34
21,0.85,372,0.8405252513522464,374.30001753876076,308,8,0.00947474864775355,2.3000175387607555,29
22,0.85,372,0.8819673462846795,365.46135388007025,318,13,0.031967346284679565,6.538646119929751,19
23,0.85,372,0.8587785068156067,376.0884430642302,317,7,0.008778506815606768,4.088443064230205,20
24,0.85,372,0.8534811409980383,362.0694227807386,304,14,0.0034811409980383123,9.930577219261409,33
25,0.85,372,0.8890423693940706,369.2605550941086,324,11,0.039042369394070575,2.7394449058913892,13
26,0.85,372,0.8365367860217013,376.56013494401077,308,7,0.013463213978298638,4.56013494401077,29
27,0.85,372,0.8084565321077154,370.45620502906314,292,10,0.04154346789228458,1.5437949709368581,45
28,0.85,372,0.8178142028934062,374.98215989551477,299,8,0.03218579710659375,2.9821598955147692,38
29,0.85,372,0.8613025035017179,372.182577072418,315,9,0.011302503501717909,0.1825770724179847,22
30,0.85,372,0.8601666045447225,370.2223778952798,313,10,0.010166604544722513,1.7776221047201943,24
31,0.85,372,0.8400626103677715,378.59837897450706,311,6,0.009937389632228455,6.598378974507057,26
32,0.85,372,0.8489832909501545,376.2393283707487,313,7,0.0010167090498455211,4.239328370748694,24
33,0.85,372,0.8419769841023735,372.14962224516034,307,9,0.00802301589762644,0.1496222451603444,30
34,0.85,372,0.821185073285038,370.14745700094863,297,10,0.028814926714961997,1.8525429990513658,40
35,0.85,372,0.8399824293567434,367.87231908003287,303,11,0.01001757064325659,4.127680919967133,34
36,0.85,372,0.8589153949602528,372.1630325557032,314,9,0.008915394960252843,0.16303255570318242,23
37,0.85,372,0.8472394292688232,382.4947686335296,317,4,0.002760570731176748,10.494768633529588,20
38,0.85,372,0.841095827935345,380.69355754272976,313,5,0.008904172064654992,8.693557542729764,24
39,0.85,372,0.8203280048735102,367.8048295522706,295,11,0.02967199512648977,4.195170447729424,42
40,0.85,372,0.8811872878052429,370.71951656219363,322,10,0.031187287805242936,1.2804834378063674,15
41,0.85,372,0.8684192323889467,372.26368656603375,318,9,0.018419232388946716,0.26368656603375484,19
42,0.85,372,0.8503578779955174,374.170242144926,312,8,0.0003578779955174527,2.1702421449260214,25
43,0.85,372,0.8409721899568716,370.0206382519774,305,10,0.00902781004312836,1.9793617480225976,32
44,0.85,372,0.8437921891301934,365.817583629103,303,12,0.006207810869806596,6.182416370896988,34
45,0.85,372,0.829603919053608,372.3005608336079,302,9,0.020396080946392003,0.30056083360790353,35
46,0.85,372,0.892647550721195,371.0842589775083,327,10,0.04264755072119497,0.9157410224917157,10
47,0.85,372,0.8212616781937643,377.1863914917557,302,7,0.0287383218062357,5.186391491755728,35
48,0.85,372,0.8380437499649999,374.34718258984367,307,8,0.011956250035000116,2.347182589843669,30
49,0.85,372,0.8530306585016767,370.11533190769234,310,10,0.0030306585016767196,1.8846680923076633,27
50,0.85,372,0.8517067525714855,372.12928210350617,311,9,0.0017067525714855591,0.12928210350617064,26
51,0.85,372,0.8543303099838121,368.1273344156387,309,11,0.0043303099838121195,3.8726655843613003,28
52,0.85,372,0.8649189350331504,366.4979535563413,312,12,0.014918935033150449,5.502046443658685,25
53,0.85,372,0.841095827935345,380.69355754272976,313,5,0.008904172064654992,8.693557542729764,24
54,0.85,372,0.8940080934630799,372.7948420830245,329,9,0.04400809346307988,0.7948420830244913,8
55,0.85,372,0.8696218745524914,374.14609819383855,320,8,0.019621874552491425,2.1460981938385544,17
56,0.85,372,0.8340180249879888,376.64461313956184,307,7,0.01598197501201115,4.644613139561841,30
57,0.85,372,0.8475822163592185,378.33772057890087,314,6,0.00241778364078149,6.337720578900871,23
58,0.85,372,0.8530306585016767,370.11533190769234,310,10,0.0030306585016767196,1.8846680923076633,27
59,0.85,372,0.8579455265819088,366.2434522709696,309,12,0.007945526581908835,5.7565477290303875,28
60,0.85,372,0.8636270693766132,376.04311900537385,319,7,0.013627069376613177,4.043119005373853,18
61,0.85,372,0.8444227579228236,372.1369021777205,308,9,0.005577242077176359,0.13690217772051483,29
62,0.85,372,0.8522047104415462,364.03002306074177,305,13,0.0022047104415462426,7.969976939258231,32
63,0.85,372,0.8554171535893268,370.14719614411956,311,10,0.0054171535893268175,1.8528038558804383,26
64,0.85,372,0.8803665824281117,376.0166391397787,326,7,0.030366582428111744,4.016639139778704,11
65,0.85,372,0.8788777996884671,370.6532460415648,321,10,0.028877799688467154,1.3467539584352153,16
66,0.85,372,0.851173846059394,380.26825210862245,317,5,0.0011738460593939681,8.268252108622448,20
67,0.85,372,0.8613025035017179,372.182577072418,315,9,0.011302503501717909,0.1825770724179847,22
68,0.85,372,0.8509050132987686,366.01531182974554,306,12,0.0009050132987685755,5.984688170254458,31
69,0.85,372,0.8648518646202635,374.126703719045,318,8,0.014851864620263555,2.126703719044997,19
70,0.85,372,0.8541177219829081,372.1362012586277,312,9,0.004117721982908162,0.13620125862769328,25
71,0.85,372,0.862601617633413,366.41041891032387,311,12,0.012601617633413054,5.58958108967613,26
72,0.85,372,0.8602772073142897,366.3255415617853,310,12,0.010277207314289716,5.674458438214685,27
73,0.85,372,0.841544069336769,376.412371630078,310,7,0.008455930663231026,4.412371630077985,27
74,0.85,372,0.8695766884734,370.4140612321279,317,10,0.019576688473399995,1.5859387678721077,20
75,0.85,372,0.8405252513522464,374.30001753876076,308,8,0.00947474864775355,2.3000175387607555,29
76,0.85,372,0.8143051859159538,379.9969360887221,301,6,0.03569481408404618,7.996936088722123,36
