sim_id,true_Pc,true_n4,fitted_Pc,fitted_n4,cd4_cd4,cd8_cd8,error_Pc,error_n4,error_cd4_cd4
0,0.89,372,0.8949542479056513,366.60071652183933,328,13,0.004954247905651243,5.399283478160669,9
1,0.89,372,0.8570221123857658,374.36582416492723,320,8,0.03297788761423426,2.3658241649272327,17
2,0.89,372,0.8793198738416307,379.6789420315284,333,5,0.01068012615836933,7.678942031528379,4
3,0.89,372,0.8866395834836204,376.2382335611616,333,7,0.0033604165163796385,4.238233561161621,4
4,0.89,372,0.8660139952593867,372.5175132463178,322,9,0.023986004740613298,0.5175132463177761,15
5,0.89,372,0.8934813670390207,364.88938689758425,326,14,0.0034813670390206886,7.110613102415755,11
6,0.89,372,0.868700070179487,376.202867834072,326,7,0.021299929820512986,4.202867834071981,11
7,0.89,372,0.8836877299184009,372.8106204757544,329,9,0.0063122700815990695,0.8106204757543765,8
8,0.89,372,0.88009520098134,374.47066965113453,329,8,0.009904799018660038,2.4706696511345285,8
9,0.89,372,0.9004001557161396,370.06485909382764,333,11,0.010400155716139614,1.9351409061723643,4
10,0.89,372,0.9004001557161396,370.06485909382764,333,11,0.010400155716139614,1.9351409061723643,4
11,0.89,372,0.8595974761140381,378.16872703365533,324,6,0.030402523885961874,6.16872703365533,13
12,0.89,372,0.8530522515878843,376.347241444497,320,7,0.03694774841211568,4.347241444497001,17
13,0.89,372,0.8955367577338916,369.8623318511504,331,11,0.005536757733891617,2.1376681488496274,6
14,0.89,372,0.8780617402996238,365.7032193289967,321,13,0.011938259700376208,6.296780671003319,16
15,0.89,372,0.863462877276201,372.48984288501856,321,9,0.026537122723799045,0.489842885018561,16
16,0.89,372,0.8789886763311865,376.199975854788,330,7,0.011011323668813522,4.199975854788022,7
17,0.89,372,0.8853318867981541,366.07898592072667,324,13,0.004668113201845903,5.921014079273334,13
18,0.89,372,0.8901527137970692,366.33718226496023,326,13,0.00015271379706915944,5.662817735039766,11
19,0.89,372,0.8891784346730925,376.25782836899486,334,7,0.0008215653269074696,4.257828368994865,3
20,0.89,372,0.850416208864015,376.3904849719771,319,7,0.03958379113598498,4.390484971977116,18
21,0.89,372,0.8750148912935629,374.4195972635405,327,8,0.0149851087064371,2.4195972635404814,10
22,0.89,372,0.9253400593467962,364.1500077209469,337,16,0.03534005934679618,7.849992279053083,0
23,0.89,372,0.8866395834836204,376.2382335611616,333,7,0.0033604165163796385,4.238233561161621,4
24,0.89,372,0.8608985498009815,368.68042861684006,317,11,0.029101450199018553,3.319571383159939,20
25,0.89,372,0.9028252577761542,370.1684294922404,334,11,0.012825257776154175,1.8315705077595794,3
26,0.89,372,0.8685581299298941,372.54906490723647,323,9,0.021441870070105895,0.5490649072364704,14
27,0.89,372,0.8416317244245443,370.36846015442967,311,10,0.048368275575455755,1.6315398455703303,26
28,0.89,372,0.8660139952593867,372.5175132463178,322,9,0.023986004740613298,0.5175132463177761,15
29,0.89,372,0.8979707047235786,369.9627982699228,332,11,0.007970704723578637,2.037201730077186,5
30,0.89,372,0.8955367577338916,369.8623318511504,331,11,0.005536757733891617,2.1376681488496274,6
31,0.89,372,0.8772656166831481,370.92953697071675,325,10,0.01273438331685195,1.0704630292832462,12
32,0.89,372,0.8876712748464096,374.5720720055188,332,8,0.002328725153590394,2.5720720055188053,5
33,0.89,372,0.8811812499312437,372.7591915806271,328,9,0.00881875006875632,0.759191580627089,9
34,0.89,372,0.8531841441315999,372.4217673843535,317,9,0.03681585586840008,0.4217673843534726,20
35,0.89,372,0.8734029506585355,369.04578959534354,322,11,0.016597049341464554,2.9542104046564646,15
36,0.89,372,0.8761507167374903,372.66529903013156,326,9,0.01384928326250967,0.665299030131564,11
37,0.89,372,0.8582583180437012,380.110891591411,325,5,0.031741681956298784,8.110891591411018,12
38,0.89,372,0.8804429551263411,377.9348027321941,332,6,0.009557044873658938,5.9348027321941,5
39,0.89,372,0.8482145976184089,368.4008769141211,312,11,0.04178540238159112,3.5991230858788867,25
40,0.89,372,0.9124850117181064,370.5962253374613,338,11,0.02248501171810635,1.4037746625386944,1
41,0.89,372,0.9060137455457049,373.3855307711449,338,9,0.016013745545704894,1.3855307711448859,1
42,0.89,372,0.8699090972300129,374.38320444035645,325,8,0.02009090276998715,2.383204440356451,12
43,0.89,372,0.8479969412248779,372.4162133050092,315,9,0.042003058775122115,0.41621330500919385,22
44,0.89,372,0.8818813079129867,367.6171764172331,324,12,0.008118692087013324,4.382823582766889,13
45,0.89,372,0.8709151800400972,368.9668120499215,321,11,0.019084819959902855,3.0331879500785135,16
46,0.89,372,0.9203857013874692,369.52024896430663,340,12,0.03038570138746921,2.4797510356933685,3
47,0.89,372,0.8328054892439217,379.0015919640478,314,6,0.05719451075607829,7.001591964047805,23
48,0.89,372,0.8570221123857658,374.36582416492723,320,8,0.03297788761423426,2.3658241649272327,17
49,0.89,372,0.8697475986579044,370.7479511981494,322,10,0.020252401342095605,1.2520488018506057,15
50,0.89,372,0.8761507167374903,372.66529903013156,326,9,0.01384928326250967,0.665299030131564,11
51,0.89,372,0.8882064210598695,369.5714016896634,328,11,0.0017935789401305469,2.4285983103366107,9
52,0.89,372,0.8921448959084228,371.36529805171125,331,10,0.002144895908422817,0.6347019482887504,6
53,0.89,372,0.8815448921340194,376.20915518262245,331,7,0.008455107865980582,4.209155182622453,6
54,0.89,372,0.8926945359291636,374.6545524034809,334,8,0.0026945359291635773,2.6545524034809205,3
55,0.89,372,0.8979707047235786,369.9627982699228,332,11,0.007970704723578637,2.037201730077186,5
56,0.89,372,0.8724652804813509,374.3994826128649,326,8,0.017534719518649156,2.399482612864915,11
57,0.89,372,0.8866395834836204,376.2382335611616,333,7,0.0033604165163796385,4.238233561161621,4
58,0.89,372,0.8685581299298941,372.54906490723647,323,9,0.021441870070105895,0.5490649072364704,14
59,0.89,372,0.8867577923690213,367.8353862075288,326,12,0.0032422076309787107,4.164613792471187,11
60,0.89,372,0.8819215971263618,379.6475708045312,334,5,0.008078402873638257,7.647570804531199,3
61,0.89,372,0.8747658444979307,370.86601131782936,324,10,0.015234155502069302,1.1339886821706386,13
62,0.89,372,0.8621429841700741,366.8310574662617,316,12,0.027857015829925946,5.168942533738289,21
63,0.89,372,0.8964504960024526,368.2919361835734,330,12,0.0064504960024526214,3.708063816426602,7
64,0.89,372,0.9182640462220377,373.7737584755916,343,9,0.02826404622203771,1.7737584755915918,6
65,0.89,372,0.9036721042235119,368.64920968379147,333,12,0.013672104223511838,3.3507903162085313,4
66,0.89,372,0.8700763728463767,378.01301115972944,328,6,0.01992362715362328,6.013011159729444,9
67,0.89,372,0.8786689740362347,372.71070453193676,327,9,0.01133102596376534,0.7107045319367558,10
68,0.89,372,0.8843221943376973,367.72536341230557,325,12,0.005677805662302693,4.274636587694431,12
69,0.89,372,0.8851515867459085,374.53516006450445,331,8,0.004848413254091466,2.5351600645044527,6
70,0.89,372,0.8672287345445979,370.693711649875,321,10,0.02277126545540209,1.3062883501249871,16
71,0.89,372,0.9092547149645724,367.41728218072467,334,13,0.019254714964572428,4.582717819275331,3
72,0.89,372,0.8772656166831481,370.92953697071675,325,10,0.01273438331685195,1.0704630292832462,12
73,0.89,372,0.850416208864015,376.3904849719771,319,7,0.03958379113598498,4.390484971977116,18
74,0.89,372,0.9100758951344007,370.4873996254523,337,11,0.020075895134400668,1.5126003745476737,0
75,0.89,372,0.8697475986579044,370.7479511981494,322,10,0.020252401342095605,1.2520488018506057,15
76,0.89,372,0.8811812499312437,372.7591915806271,328,9,0.00881875006875632,0.759191580627089,9
77,0.89,372,0.8722599027275119,370.8054346767742,323,10,0.017740097272488153,1.1945653232257882,14
78,0.89,372,0.8609045591847464,372.4662367788863,320,9,0.029095440815253615,0.466236778886298,17
79,0.89,372,0.8815448921340194,376.20915518262245,331,7,0.008455107865980582,4.209155182622453,6
80,0.89,372,0.8529155524577324,380.27769865335904,323,5,0.037084447542267585,8.277698653359039,14
81,0.89,372,0.8826262898675962,374.5013121906788,330,8,0.007373710132403843,2.5013121906787887,7
