sim_id,true_Pc,true_n4,fitted_Pc,fitted_n4,cd4_cd4,cd8_cd8,error_Pc,error_n4,error_cd4_cd4
0,0.84,372,0.8405062144193938,368.283935625615,309,11,0.0005062144193938023,3.7160643743849846,28
1,0.84,372,0.8031367544391341,375.93316025424053,300,8,0.03686324556086584,3.9331602542405335,37
2,0.84,372,0.8262658055433508,377.09430415615446,310,7,0.01373419445664914,5.094304156154465,27
3,0.84,372,0.8279270225833778,374.81810704356855,309,8,0.012072977416622166,2.8181070435685456,28
4,0.84,372,0.7888681637936443,376.9848721820058,295,8,0.05113183620635564,4.984872182005802,42
5,0.84,372,0.850933558406869,364.487460393325,310,13,0.010933558406869048,7.512539606674977,27
6,0.84,372,0.8078279787740695,373.2283694236203,300,9,0.032172021225930436,1.2283694236202791,37
7,0.84,372,0.8077669522453799,380.5237734579326,305,6,0.0322330477546201,8.523773457932577,32
8,0.84,372,0.8317044696008833,376.88266706248334,312,7,0.00829553039911668,4.8826670624833355,25
9,0.84,372,0.8442283409089546,370.3802102923628,312,10,0.004228340908954631,1.61978970763721,25
10,0.84,372,0.8427751799891048,372.43212870578816,313,9,0.0027751799891048146,0.4321287057881591,24
11,0.84,372,0.8058311368774073,383.13268409209815,306,5,0.03416886312259271,11.132684092098145,31
12,0.84,372,0.8197767689225477,375.097973468056,306,8,0.020223231077452275,3.0979734680560114,31
13,0.84,372,0.8327158929334425,368.21247999687506,306,11,0.007284107066557466,3.787520003124939,31
14,0.84,372,0.8535533905932737,360.6726954888601,308,15,0.013553390593273762,11.327304511139914,29
15,0.84,372,0.8151138175602819,370.60098671375556,301,10,0.024886182439718074,1.3990132862444398,36
16,0.84,372,0.8317044696008833,376.88266706248334,312,7,0.00829553039911668,4.8826670624833355,25
17,0.84,372,0.7983195689481186,378.7951029452286,300,7,0.04168043105188135,6.795102945228621,37
18,0.84,372,0.8447813396711464,362.2235657985781,306,14,0.004781339671146467,9.776434201421921,31
19,0.84,372,0.8337859246257411,370.36709484659673,308,10,0.006214075374258887,1.6329051534032715,29
20,0.84,372,0.7994651210365489,373.64080258765244,297,9,0.04053487896345109,1.6408025876524448,40
21,0.84,372,0.8197767689225477,375.097973468056,306,8,0.020223231077452275,3.0979734680560114,31
22,0.84,372,0.8621429841700741,366.8310574662617,316,12,0.022142984170074098,5.168942533738289,21
23,0.84,372,0.8218019349780988,379.5671096969996,310,6,0.018198065021901133,7.56710969699958,27
24,0.84,372,0.8254551468813774,363.7252654807003,300,13,0.014544853118622525,8.274734519299727,37
25,0.84,372,0.8608985498009815,368.68042861684006,317,11,0.020898549800981492,3.319571383159939,20
26,0.84,372,0.8180206703900135,377.4829472755035,307,7,0.021979329609986498,5.482947275503477,30
27,0.84,372,0.7757872947070334,372.5889911515474,287,10,0.06421270529296652,0.5889911515474182,50
28,0.84,372,0.7917544231569341,376.7439164233676,296,8,0.04824557684306585,4.74391642336758,41
29,0.84,372,0.8427751799891048,372.43212870578816,313,9,0.0027751799891048146,0.4321287057881591,24
30,0.84,372,0.839025970182802,370.36217643837176,310,10,0.0009740298171979633,1.6378235616282382,27
31,0.84,372,0.8029464376199535,383.4097308135792,305,5,0.03705356238004642,11.409730813579188,32
32,0.84,372,0.8262658055433508,377.09430415615446,310,7,0.01373419445664914,5.094304156154465,27
33,0.84,372,0.8133339075998987,373.00986845236037,302,9,0.026666092400101316,1.0098684523603652,35
34,0.84,372,0.7801025648017359,377.81377472095744,292,8,0.05989743519826407,5.81377472095744,45
35,0.84,372,0.8069327663120248,370.82702171315884,298,10,0.03306723368797515,1.1729782868411576,39
36,0.84,372,0.8386403806774955,374.5604994950926,313,8,0.0013596193225045017,2.5604994950925857,24
37,0.84,372,0.8256284299358676,381.5855340831529,313,5,0.014371570064132366,9.58553408315288,24
38,0.84,372,0.8125264445792612,384.91895979191787,310,4,0.027473555420738816,12.918959791917871,27
39,0.84,372,0.7978061862859197,368.63251556666836,293,11,0.042193813714080264,3.36748443333164,44
40,0.84,372,0.8608985498009815,368.68042861684006,317,11,0.020898549800981492,3.319571383159939,20
41,0.84,372,0.8427751799891048,372.43212870578816,313,9,0.0027751799891048146,0.4321287057881591,24
42,0.84,372,0.8333045368810025,374.6740765804856,311,8,0.006695463118997491,2.6740765804855755,26
43,0.84,372,0.8195287169140069,368.2146255975734,301,11,0.02047128308599311,3.785374402426612,36
44,0.84,372,0.8264562837184833,365.96952762841136,302,12,0.013543716281516627,6.030472371588644,35
45,0.84,372,0.8050546673968514,373.353972887812,299,9,0.03494533260314858,1.3539728878120059,38
46,0.84,372,0.855765425044233,372.4319932426308,318,9,0.01576542504423306,0.43199324263082417,19
47,0.84,372,0.7867232857435913,379.86795652014496,296,7,0.053276714256408675,7.867956520144958,41
48,0.84,372,0.8170361894050764,375.2099946010123,305,8,0.022963810594923584,3.2099946010122835,32
