sim_id,true_Pc,true_n4,fitted_Pc,fitted_n4,cd4_cd4,cd8_cd8,error_Pc,error_n4,error_cd4_cd4
0,0.86,372,0.8558480395884712,368.5571109703114,315,11,0.004151960411528766,3.442889029688615,22
1,0.86,372,0.8152475501597207,377.6333842025537,306,7,0.04475244984027926,5.633384202553714,31
2,0.86,372,0.8394003270854016,380.8223546915503,318,5,0.02059967291459841,8.822354691550288,19
3,0.86,372,0.8621990044324821,374.35919206847564,322,8,0.00219900443248211,2.359192068475636,15
4,0.86,372,0.8214972609500284,372.756109635418,305,9,0.03850273904997159,0.7561096354179995,32
5,0.86,372,0.860892743616616,364.89441899227234,314,13,0.0008927436166160652,7.105581007727665,23
6,0.86,372,0.8386403806774955,374.5604994950926,313,8,0.02135961932250452,2.5604994950925857,24
7,0.86,372,0.8463178224047077,378.495081862907,319,6,0.013682177595292333,6.495081862907,18
8,0.86,372,0.8409428664990082,378.67374873517906,317,6,0.019057133500991807,6.6737487351790605,20
9,0.86,372,0.8734029506585355,369.04578959534354,322,11,0.013402950658535473,2.9542104046564646,15
10,0.86,372,0.8660139952593867,372.5175132463178,322,9,0.0060139952593867285,0.5175132463177761,15
11,0.86,372,0.8238943332601937,383.9489632443711,314,4,0.03610566673980631,11.9489632443711,23
12,0.86,372,0.8412934571920682,374.51426908581305,314,8,0.018706542807931825,2.514269085813055,23
13,0.86,372,0.8545287121444561,370.4769619875172,316,10,0.005471287855543849,1.5230380124828002,21
14,0.86,372,0.8670057076951014,363.3279854432391,315,14,0.0070057076951014485,8.672014556760928,22
15,0.86,372,0.8295550900487644,372.58020920051456,308,9,0.03044490995123561,0.5802092005145596,29
16,0.86,372,0.8569584777515582,378.22142929190034,323,6,0.003041522248441786,6.221429291900336,14
17,0.86,372,0.8306211500003988,374.7421034654288,310,8,0.029378849999601164,2.7421034654287837,27
18,0.86,372,0.8559278524063527,364.6850857202154,312,13,0.004072147593647268,7.3149142797846025,25
19,0.86,372,0.8570221123857658,374.36582416492723,320,8,0.0029778876142342314,2.3658241649272327,17
20,0.86,372,0.8295550900487644,372.58020920051456,308,9,0.03044490995123561,0.5802092005145596,29
21,0.86,372,0.8279270225833778,374.81810704356855,309,8,0.032072977416622184,2.8181070435685456,28
22,0.86,372,0.8804905253616162,365.8268144209512,322,13,0.02049052536161622,6.173185579048777,15
23,0.86,372,0.8582992860422393,376.2781667493883,322,7,0.0017007139577607244,4.2781667493882765,15
24,0.86,372,0.8408495691087948,364.1326438621639,306,13,0.01915043089120516,7.867356137836111,31
25,0.86,372,0.8857529531050073,369.47823497709703,327,11,0.02575295310500736,2.5217650229029687,10
26,0.86,372,0.8306211500003988,374.7421034654288,310,8,0.029378849999601164,2.7421034654287837,27
27,0.86,372,0.7909662430277322,374.17000896649347,294,9,0.06903375697226777,2.1700089664934694,43
28,0.86,372,0.8187883565316691,372.8314720971109,304,9,0.04121164346833084,0.8314720971109182,33
29,0.86,372,0.8621705087591637,370.5956027584763,319,10,0.002170508759163692,1.404397241523725,18
30,0.86,372,0.8608985498009815,368.68042861684006,317,11,0.0008985498009814741,3.319571383159939,20
31,0.86,372,0.8370999312316211,376.70501538132356,314,7,0.02290006876837891,4.7050153813235625,23
32,0.86,372,0.8409428664990082,378.67374873517906,317,6,0.019057133500991807,6.6737487351790605,20
33,0.86,372,0.8401506715249037,372.448786250921,312,9,0.01984932847509624,0.448786250920989,25
34,0.86,372,0.8205052333004341,370.49567830269854,303,10,0.039494766699565864,1.5043216973014637,34
35,0.86,372,0.8327158929334425,368.21247999687506,306,11,0.027284107066557484,3.787520003124939,31
36,0.86,372,0.8545287121444561,370.4769619875172,316,10,0.005471287855543849,1.5230380124828002,21
37,0.86,372,0.837826179681104,383.00567967648385,319,4,0.02217382031889603,11.005679676483851,18
38,0.86,372,0.838240712601273,378.77468472109916,316,6,0.021759287398727012,6.774684721099163,21
39,0.86,372,0.8069327663120248,370.82702171315884,298,10,0.05306723368797517,1.1729782868411576,39
40,0.86,372,0.8847297716152713,371.1364585875291,328,10,0.024729771615271345,0.8635414124709087,9
41,0.86,372,0.8621990044324821,374.35919206847564,322,8,0.00219900443248211,2.359192068475636,15
42,0.86,372,0.8439370333750486,374.47465263060167,315,8,0.016062966624951436,2.4746526306016676,22
43,0.86,372,0.8268802773897826,372.63087855871447,307,9,0.03311972261021734,0.6308785587144712,30
44,0.86,372,0.8470523651115991,366.3620305367672,310,12,0.012947634888400894,5.637969463232821,27
45,0.86,372,0.8375167044357892,372.471616765157,311,9,0.022483295564210803,0.4716167651570231,26
46,0.86,372,0.893098164460742,369.76354821976463,330,11,0.033098164460741986,2.2364517802353703,7
47,0.86,372,0.8124613908887888,377.79514229472386,305,7,0.047538609111211216,5.79514229472386,32
48,0.86,372,0.8235294117647058,377.2139037433155,309,7,0.036470588235294144,5.213903743315484,28
49,0.86,372,0.8442283409089546,370.3802102923628,312,10,0.015771659091045387,1.61978970763721,25
50,0.86,372,0.8479969412248779,372.4162133050092,315,9,0.012003058775122089,0.41621330500919385,22
51,0.86,372,0.8468160897900621,370.3971720447846,313,10,0.013183910209937921,1.602827955215389,24
52,0.86,372,0.8545287121444561,370.4769619875172,316,10,0.005471287855543849,1.5230380124828002,21
